,Title,Developer,Publisher,First released,JP,EU/PAL,NA
176,Arena Football,EA Tiburon,EA Sports,2006-02-07NA,Unreleased,Unreleased,Released
177,Arena Football: Road to Glory,Budcat,EA Sports,2007-02-20NA,Unreleased,Unreleased,Released
178,Aria: The Natural ~Tooi Yume no Mirage~,Regista,Alchemist,2006-09-28JP,Released,Unreleased,Unreleased
179,Aria: The Origination ~Aoi Hoshi no El Cielo~,Regista,Alchemist,2008-06-26JP,Released,Unreleased,Unreleased
180,Armen Noir,Otomate,Idea Factory,2010-12-09JP,Released,Unreleased,Unreleased
181,Armored Core: Formula Front,FromSoftware,FromSoftware,2005-03-03JP,Released,Unreleased,Unreleased
182,Armored Core: Last Raven,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesPAL",2005-08-04JP,Released,Released,Released
183,Armored Core: Nexus,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Indie GamesEU",2004-03-18JP,Released,Released,Released
184,Armored Core: Nine Breaker,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesEU",2004-10-28JP,Released,Released,Released
185,Armored Core 2,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, UbisoftEU",2000-08-03JP,Released,Released,Released
186,Armored Core 2: Another Age,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU",2001-04-12JP,Released,Released,Released
187,Armored Core 3,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU",2002-04-04JP,Released,Released,Released
188,Army Men: Air Attack 2,3DO,3DO,2001-03-23NA,Unreleased,Released,Released
189,Army Men: Green Rogue,3DO,3DO,2001-03-25NA,Unreleased,Released,Released
190,Army Men: Major Malfunction,Global Star Software,Global Star Software,2006-08-04PAL,Unreleased,Released,Unreleased
191,Army Men: RTS,Pandemic Studios,"3DONA,EU, CapcomJP",2002-03-27NA,Released,Released,Released
192,Army Men: Sarge's Heroes 2,3DO,"3DONA, MidasEU",2001-01-03EU,Unreleased,Released,Released
193,Army Men: Sarge's War,Tactical Development,Global Star Software,2004-07-23PAL,Unreleased,Released,Unreleased
194,Army Men: Soldiers of Misfortune,Big Blue Bubble,DSI Games,2008-11-04NA,Unreleased,Unreleased,Released
195,Art of Fighting Anthology,SNK Playmore,"SNK Playmore, Crave EntertainmentEU",2005-11-06JP,Released,Released,Released
196,Arthur and the Invisibles: The Game,Etranges Libellules,Atari,2007-01-09NA,Unreleased,Released,Released
197,Ashita no Joe: Masshiro ni Moe Tsukiro!,Konami,Konami,2003-12-04JP,Released,Unreleased,Unreleased
198,Ashita no Joe 2: The Anime Super Remix,Capcom,Capcom,2002-06-20JP,Released,Unreleased,Unreleased
199,Ashita no Joe Touchi: Typing Namida Hashi,Dual,SunSoft,2001-03-29JP,Released,Unreleased,Unreleased
200,Asobi ni Iku Yo!,Design Factory,Idea Factory,2006-07-27JP,Released,Unreleased,Unreleased
201,Assault Suits Valken,Psikyo,"NCSJP, X-NautsKO, 505 Game StreetEU",2004-08-26JP,Released,Released,Unreleased
202,Asterix & Obelix: Kick Buttix,Etranges Libellules,Atari Europe,2004-03-19EU,Unreleased,Released,Released
203,Asterix & Obelix XXL 2: Mission: Las Vegum,Etranges Libellules,Atari Europe,2006-06-30EU,Unreleased,Released,Unreleased
204,Asterix at the Olympic Games,Etranges Libellules,Atari Europe,2008-02-28AU,Unreleased,Released,Unreleased
205,Astro Boy,Sonic Team,Sega,2004-03-18JP,Released,Released,Released
206,Astro Boy: The Video Game,High Voltage Software,D3 Publisher,2009-10-20NA,Unreleased,Released,Released
207,Astro Kyuudan: Kessen!! Victory Kyuudanhen,Sunrise Interactive,Sunrise Interactive,2005-11-23JP,Released,Unreleased,Unreleased
208,Atari Anthology,Digital Eclipse,Atari,2004-11-22NA,Unreleased,Released,Released
209,Atelier Iris: Eternal Mana,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2004-05-27JP,Released,Released,Released
210,Atelier Iris 2: The Azoth of Destiny,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2005-05-26JP,Released,Released,Released
211,Atelier Iris 3: Grand Phantasm,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2006-06-29JP,Released,Released,Released
212,Atelier Marie + Elie,Gust,Gust,2005-10-27JP,Released,Unreleased,Unreleased
213,Athens 2004,Eurocom Entertainment Software,Sony Computer Entertainment,2004-07-02EU,Released,Released,Released
214,Atlantis III: The New World,Cryo Interactive,Cryo Interactive,2002-02-08EU,Unreleased,Released,Unreleased
215,A-Train 6,Artdink,"ArtdinkJP, Midas Interactive EntertainmentEU",2000-03-04JP,Released,Released,Unreleased
216,ATV Offroad Fury,Rainbow Studios,Sony Computer Entertainment,2001-02-05NA,Unreleased,Released,Released
217,ATV Offroad Fury 2,Rainbow Studios,Sony Computer Entertainment,2002-11-09NA,Unreleased,Released,Released
218,ATV Offroad Fury 3,Climax Group,"Sony Computer EntertainmentNA, SouthPeak GamesEU",2004-11-02NA,Unreleased,Released,Released
219,ATV Offroad Fury 4,Climax Group,Sony Computer Entertainment,2006-10-31NA,Unreleased,Released,Released
220,ATV Quad Power Racing 2,Climax Brighton,AKA Acclaim,2003-01-13NA,Unreleased,Released,Released
221,Austin Mini Racing,Data Design Interactive,Metro3D Europe,2006-03-17EU,Unreleased,Released,Unreleased
222,Australian Idol Sing,Milestone,Black Bean Games,2006-09-19AU,Unreleased,Released,Unreleased
223,Auto Modellista,Capcom,Capcom,2002-08-22JP,Released,Released,Released
224,Autobahn Raser IV,Davilex,Davilex,2002-12-31EU,Unreleased,Released,Unreleased
225,Autobahn Raser: Das Spiel zum Film,Davilex,Davilex,2004-04-29EU,Unreleased,Released,Unreleased
226,Avatar: The Last Airbender,THQ Studio Australia,THQ,2006-10-10NA,Unreleased,Released,Released
227,Avatar: The Last Airbender,THQ Studio Australia,THQ,2007-10-16NA,Unreleased,Released,Released
228,Avatar: The Last Airbender,THQ Studio Australia,THQ,2008-10-13NA,Unreleased,Released,Released
229,Ayakashibito,Dimple Entertainment,Dimple Entertainment,2006-08-31JP,Released,Unreleased,Unreleased
230,Azumi,Gargoyle Mechanics,"ESP Software, D3 Publisher",2005-03-24JP,Released,Unreleased,Unreleased
231,Azur & Asmar,Wizarbox,Emme,2007-04-26PAL,Unreleased,Released,Unreleased
232,B-Boy,FreeStyleGames,"Evolved GamesNA, Sony Computer EntertainmentPAL",2006-09-29EU,Unreleased,Released,Released
233,Babe,Aqua Pacific,Blast! Entertainment Ltd,2006-10-13PAL,Unreleased,Released,Unreleased
234,Backyard Baseball,Humongous Entertainment,Atari,2004-03-23NA,Unreleased,Unreleased,Released
235,Backyard Baseball '09,Humongous Entertainment,Atari,2008-06-10NA,Unreleased,Unreleased,Released
236,Backyard Baseball '10,Farsight Studios,Atari,2009-04-28NA,Unreleased,Unreleased,Released
237,Backyard Basketball,Humongous Entertainment,Atari,2003-10-21NA,Unreleased,Released,Released
238,Backyard Football '08,FarSight Technologies,Atari,2007-10-16NA,Unreleased,Unreleased,Released
239,Backyard Football '09,FarSight Technologies,Atari,2008-10-21NA,Unreleased,Unreleased,Released
240,Backyard Football '10,FarSight Technologies,Atari,2009-10-20NA,Unreleased,Unreleased,Released
241,Backyard Football 2006,Humongous Entertainment,Atari,2005-10-04NA,Unreleased,Unreleased,Released
242,Backyard Sports: Baseball 2007,Game Brains,Atari,2006-09-05NA,Unreleased,Unreleased,Released
243,Backyard Sports: Basketball 2007,Game Brains,Atari,2007-02-13NA,Unreleased,Unreleased,Released
244,Backyard Wrestling: Don't Try This at Home,Paradox Development,Eidos Interactive,2003-10-07NA,Released,Released,Released
245,Backyard Wrestling 2: There Goes the Neighborhood,Paradox Development,Eidos Interactive,2004-11-16NA,Released,Released,Released
246,Bad Boys: Miami Takedown,Blitz Games,"Empire InteractiveEU, Crave EntertainmentNA",2004-02EU,Unreleased,Released,Released
247,Bakufuu Slash! Kizna Arashi,Sony Computer Entertainment,Sony Computer Entertainment,2004-11-03JP,Released,Unreleased,Unreleased
248,Bakugan Battle Brawlers,Now Production,Activision,2009-10-20NA,Unreleased,Released,Released
249,Bakumatsu Renka: Karyuu Kenshiden,Vridge,D3 Publisher,2007-10-04JP,Released,Unreleased,Unreleased
250,Bakumatsu Renka: Shinsengumi,Vridge,D3 Publisher,2004-12-22JP,Released,Unreleased,Unreleased
251,Bakumatsu Rouman: Gekka no Kenshi 1-2,SNK Playmore,SNK Playmore,2006-01-12JP,Released,Unreleased,Unreleased
252,Bakushou! Jinsei Kaidou,Taito,Taito,2004-03-18JP,Released,Unreleased,Unreleased
253,Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman,Dual,Spike,2003-01-23JP,Released,Unreleased,Unreleased
