,Title,Developer,Publisher,First released,JP,EU/PAL,NA
3714,Star Trek: Voyager Elite Force,PipeDream Interactive,"Majesco EntertainmentNA, CodemastersEU",2001-12-06NA,Unreleased,Released,Released
3715,Star Wars: Battlefront,Pandemic Studios,"LucasArtsEU,NA, Electronic ArtsJP",2004-09-20NA,Released,Released,Released
3716,Star Wars: Battlefront II,Pandemic Studios,"LucasArtsEU,NA, Electronic ArtsJP",2005-10-31EU,Released,Released,Released
3717,Star Wars: Bounty Hunter,LucasArts,"LucasArtsEU,NA, Electronic ArtsJP",2002-11-19NA,Released,Released,Released
3718,Star Wars: The Clone Wars,Pandemic Studios,LucasArts,2002-12-10NA,Unreleased,Released,Released
3719,Star Wars: The Clone Wars - Republic Heroes,Krome Studios,LucasArts,2009-10-06NA,Unreleased,Unreleased,Released
3720,Star Wars Episode III: Revenge of the Sith,The Collective,"LucasArtsEU,NA, Electronic ArtsJP",2005-05-04NA,Released,Released,Released
3721,Star Wars: The Force Unleashed,Krome Studios,"LucasArtsNA,PAL, ActivisionJP",2008-09-16NA,Released,Released,Released
3722,Star Wars: Jedi Starfighter,LucasArts,"LucasArtsNA, ActivisionEU, Electronic ArtsJP",2002-03-10NA,Released,Released,Released
3723,Star Wars Racer Revenge,Rainbow Studios,LucasArts,2002-02-11NA,Unreleased,Released,Released
3724,Star Wars: Starfighter,LucasArts,"LucasArtsNA, ActivisionEU, Electronic ArtsJP",2001-02-19NA,Released,Released,Released
3725,Star Wars: Super Bombad Racing,Lucas Learning,LucasArts,2001-04-23NA,Unreleased,Released,Released
3726,Starsky & Hutch,Mind's Eye Productions,"Empire InteractiveEU, Gotham GamesNA",2003-06-20EU,Unreleased,Released,Released
3727,StarTRain: Your Past Makes Your Future,PrincessSoft,PrincessSoft,2007-11-29JP,Released,Unreleased,Unreleased
3728,State of Emergency,VIS Entertainment,Rockstar Games,2002-02-12NA,Unreleased,Released,Released
3729,State of Emergency 2,DC Studios,"SouthPeak GamesEU,NA, SpikeJP",2006-02-14NA,Released,Released,Released
3730,Steady x Study,Idea Factory,Idea Factory,2004-03-25JP,Released,Unreleased,Unreleased
3731,Stealth Force 2,Midas Interactive Entertainment,Midas Interactive Entertainment,2008-10-24EU,Unreleased,Released,Unreleased
3732,Stealth Force: The War on Terror,Atomic Planet Entertainment,Midas Interactive Entertainment,2005-06-10EU,Unreleased,Released,Unreleased
3733,Steam Express,Phoenix Games,Phoenix Games,2007-12-01EU,Unreleased,Released,Unreleased
3734,Steambot Chronicles,Irem,"IremAS,JP,KO, AtlusNA, 505 Game StreetPAL",2005-06-30JP,Released,Released,Released
3735,Steamboy,SIMS,Bandai,2005-06-09JP,Released,Unreleased,Unreleased
3736,Steel Dragon EX,Warashi,"D3 PublisherJP, Midas Interactive EntertainmentEU",2003-10-23JP,Released,Released,Unreleased
3737,Stella Deus: The Gate of Eternity,Pinegrow,"AtlusJP,NA, 505 Game StreetEU",2004-10-28JP,Released,Released,Released
3738,Stepping Selection,Jaleco,Jaleco,2000-03-04JP,Released,Unreleased,Unreleased
3739,Stock Car Crash,Brain in a Jar,Midas Interactive Entertainment,2006-04-28EU,Unreleased,Released,Unreleased
3740,Stolen,Blue 52,Hip Games,2005-04-01EU,Unreleased,Released,Released
3741,Strawberry Panic! Girls' School in Fullbloom,MediaWorks,MediaWorks,2006-08-24JP,Released,Unreleased,Unreleased
3742,Strawberry Shortcake: The Sweet Dreams Game,EKO Software,The Game Factory,2006-10-20EU,Unreleased,Released,Released
3743,Street Boyz,Tamsoft,"D3 PublisherJP, 505 Game StreetEU",2004-11-11JP,Released,Released,Unreleased
3744,Street Cricket Champions,Trine Games,Sony Computer Entertainment,2010-10-01IN,Unreleased,Released,Unreleased
3745,Street Cricket Champions 2,Trine Games,Sony Computer Entertainment,2012-09-29IN,Unreleased,Released,Unreleased
3746,Street Dance,Oxygen Games,Oxygen Games,2006-10-20EU,Unreleased,Released,Unreleased
3747,Street Fighter III: 3rd Strike - Fight for the...,Capcom,Capcom,2004-07-19JP,Released,Unreleased,Unreleased
3748,Street Fighter Alpha Anthology,Capcom,Capcom,2006-05-25JP,Released,Released,Released
3749,Street Fighter Anniversary Collection,Capcom,Capcom,2004-07-22KO,Released,Unreleased,Released
3750,Street Fighter EX3,Arika,Capcom,2000-03-04JP,Released,Released,Released
3751,Street Golfer,Polygon Magic,"D3 PublisherJP, 505 Game StreetEU",2002-06-27JP,Released,Released,Unreleased
3752,Street Hoops,Black Ops Entertainment,Activision,2002-08-12NA,Unreleased,Released,Released
3753,Street Mahjong Trans-Asakami 2,Sunsoft,Sunsoft,2000-06-15JP,Released,Unreleased,Unreleased
3754,Street Racing Syndicate,Eutechnyx,"NamcoNA, CodemastersEU",2004-08-31NA,Unreleased,Released,Released
3755,Street Warrior,Phoenix Games,Phoenix Games,2007-01-12EU,Unreleased,Released,Unreleased
3756,Stretch Panic,Treasure,"Swing! EntertainmentEU, Conspiracy Entertainme...",2001-07-27EU,Released,Released,Released
3757,Strike Force Bowling,LAB Rats Games,"Crave EntertainmentNA, Play It!EU",2004-05-10NA,Unreleased,Released,Released
3758,Strike Witches: Anata to Dekiru Koto - A Little Peaceful Days,Russel,Russel,2010-05-27JP,Released,Unreleased,Unreleased
3759,Stuart Little 3: Big Photo Adventure,Magenta Software,"Sony Computer EntertainmentEU, SegaNA",2005-10-14EU,Unreleased,Released,Released
3760,Stunt GP,Team17,Titus Software,2001-11-13NA,Released,Released,Released
3761,Stuntman,Reflections Interactive,Infogrames,2002-06-25NA,Released,Released,Released
3762,Stuntman: Ignition,Paradigm Entertainment,THQ,2007-08-28NA,Released,Released,Released
3763,Stylish Mahjong Usagi,Warashi,D3 Publisher,2004-12-09JP,Released,Unreleased,Unreleased
3764,Sub Rebellion,Racjin,"IremJP, Metro3DEU,NA",2002-05-02JP,Released,Released,Released
3765,Sudoku,Success,Success,2003-12-04JP,Released,Unreleased,Unreleased
3766,The Suffering,Surreal Software,Midway Games,2004-03-09NA,Unreleased,Released,Released
3767,The Suffering: Ties That Bind,Surreal Software,Midway Games,2005-09-26NA,Unreleased,Released,Released
3768,Sugar + Spice! Anoko no Suteki na Nanimokamo,Alchemist,Alchemist,2008-09-25JP,Released,Unreleased,Unreleased
3769,Sugar Sugar Rune: Koimo Osharemo Pick-Up,Bandai,Bandai,2005-12-15JP,Released,Unreleased,Unreleased
3770,Suggoi! Arcana Heart 2,Examu,AQ Interactive,2009-04-09JP,Released,Unreleased,Unreleased
3771,Sui-Sui-Sweet,Tactics,Starfish SD,2003-12-25JP,Released,Unreleased,Unreleased
3772,Suigetsu Mayoi-Gokoro,KID,KID,2004-10-28JP,Released,Unreleased,Unreleased
3773,Suika A.S+ Eternal Name,Circus,Sweets,2007-08-30JP,Released,Unreleased,Unreleased
3774,Suikoden III,Konami,Konami,2002-07-11JP,Released,Unreleased,Released
3775,Suikoden IV,Konami,Konami,2004-08-19JP,Released,Released,Released
3776,Suikoden V,Konami,Konami,2006-02-23JP,Released,Released,Released
3777,Suikoden Tactics,Konami,Konami,2005-09-22JP,Released,Released,Released
3778,The Suiri,Tomcat System,D3 Publisher,2004-11-11JP,Released,Unreleased,Unreleased
3779,The Suiri: Aratanaru 20 no Jikenbo,Tomcat System,D3 Publisher,2002-12-19JP,Released,Unreleased,Unreleased
3780,Suki Namono wa Suki Dakarashou Ganai!! First Limit & Target Nights: Sukisyo Episode #1 & #2,Interchannel,Interchannel,2004-03-25JP,Released,Unreleased,Unreleased
3781,Suki Namono wa Suki Dakarashou Ganai!! Rain: Sukisyo Episode #3,Interchannel,Interchannel,2004-10-21JP,Released,Unreleased,Unreleased
3782,Sukusuku Inufuku,Video System,Hamster Corporation,2004-08-05JP,Released,Unreleased,Unreleased
3783,The Sum of All Fears,Red Storm Entertainment,Ubisoft,2002-05-31EU,Unreleased,Released,Unreleased
3784,Summer Athletics,49Games,"Conspiracy EntertainmentNA, DTP EntertainmentEU",2008-07-29NA,Unreleased,Released,Released
3785,Summer Heat Beach Volleyball,Acclaim Studios Cheltenham,Acclaim Entertainment,2003-07-01NA,Released,Released,Released
3786,Summon Night 3,Flight-Plan,Banpresto,2003-08-07JP,Released,Unreleased,Unreleased
3787,Summon Night 4,Flight-Plan,Banpresto,2006-11-30JP,Released,Unreleased,Unreleased
3788,Summon Night EX-Thesis: Yoake no Tsubasa,Flight-Plan,Banpresto,2005-08-04JP,Released,Unreleased,Unreleased
3789,Summon Night Gran-These: Horobi no Tsurugi to Yakusoku no Kishi,Flight-Plan,Banpresto,2010-03-11JP,Released,Unreleased,Unreleased
3790,Summoner,Volition,THQ,2000-10-24NA,Unreleased,Released,Released
3791,Summoner 2,Volition,THQ,2002-09-23NA,Unreleased,Released,Released
3792,Sumomo mo Momo mo: Chijou Saikyou no Yome,Marvelous Entertainment,Marvelous Entertainment,2007-06-21JP,Released,Unreleased,Unreleased
3793,Sunny Garcia Surfing,Krome Studios,Ubisoft,2001-10-22NA,Unreleased,Released,Released
3794,Sunrise Eiyuutan 2,Atelier-Sai,Sunrise Interactive,2001-12-20JP,Released,Unreleased,Unreleased
3795,Sunrise Eiyuutan 3,Sunrise Interactive,Sunrise Interactive,2006-06-01JP,Released,Unreleased,Unreleased
3796,Sunrise Eiyuutan R,Atelier-Sai,Sunrise Interactive,2000-11-22JP,Released,Unreleased,Unreleased
3797,Sunrise World War,Atelier-Sai,Bandai,2003-09-25JP,Released,Unreleased,Unreleased
3798,Sunsoft Collection,SNK Playmore,SNK Playmore,2008-06-26JP,Released,Unreleased,Unreleased
3799,Super Bust-A-Move,Taito,"TaitoJP, Acclaim EntertainmentEU,NA",2000-09-28JP,Released,Released,Released
3800,Super Bust-A-Move 2,Taito,"TaitoJP, UbisoftEU,NA",2002-09-19JP,Released,Released,Released
3801,The Super Dimension Fortress Macross,Sega-AM2,Bandai,2003-10-23JP,Released,Unreleased,Unreleased
3802,Super Dragon Ball Z,Crafts & Meister,"BanprestoJP, AtariNA,PAL",2006-06-29JP,Released,Released,Released
3803,Super Farm,Asobo Studio,Ignition Entertainment,2003-10-17EU,Unreleased,Released,Unreleased
3804,Super Fruit Fall,SLAM Productions,System 3,2006-09-01EU,Unreleased,Released,Unreleased
3805,Super Galdelic Hour,Enix,Enix,2001-03-29JP,Released,Unreleased,Unreleased
3806,Super Micchan,Jaleco,Jaleco,2001-04-26JP,Released,Unreleased,Unreleased
3807,Super Monkey Ball Adventure,Traveller's Tales,Sega,2006-06-30EU,Unreleased,Released,Released
3808,Super Monkey Ball Deluxe,Sega,Sega,2005-03-15NA,Released,Released,Released
3809,Super PickUps,Milestone srl,XS Games,2007-09-25NA,Unreleased,Released,Released
3810,Super Puzzle Bobble DX,Taito,D3 Publisher,2004-09-22JP,Released,Unreleased,Unreleased
3811,Super Robot Wars Alpha Premium Edition,Bandai,Banpresto,2005-07-28JP,Released,Unreleased,Unreleased
3812,Super Robot Wars Impact,Banpresto,Banpresto,2002-03-28JP,Released,Unreleased,Unreleased
3813,Super Robot Wars MX,Banpresto,Banpresto,2004-05-27JP,Released,Unreleased,Unreleased
3814,Super Robot Wars Original Generation Gaiden,Banpresto,Banpresto,2007-12-24AS,Released,Unreleased,Unreleased
3815,Super Robot Wars Original Generations,Banpresto,Banpresto,2007-06-26AS,Released,Unreleased,Unreleased
3816,Super Robot Wars: Scramble Commander,Banpresto,Banpresto,2003-11-06JP,Released,Unreleased,Unreleased
3817,Super Robot Wars: Scramble Commander the 2nd,Banpresto,Banpresto,2007-11-01JP,Released,Unreleased,Unreleased
3818,Super Robot Wars Z,Banpresto,Banpresto,2008-09-25JP,Released,Unreleased,Unreleased
3819,Super Robot Wars Z Special Disc,Banpresto,Bandai Namco Games,2009-03-05JP,Released,Unreleased,Unreleased
3820,Super Rugby League 2,Sidhe Interactive,Tru Blu Entertainment,2005-12-08AU,Unreleased,Released,Unreleased
3821,Super Shanghai 2005,Starfish SD,Starfish SD,2004-11-25JP,Released,Unreleased,Unreleased
3822,Super Trucks Racing,Jester Interactive,"Jester InteractiveEU, XS GamesNA, SuccessJP",2002-06-28EU,Released,Released,Released
3823,Superbike GP,Phoenix Games,Phoenix Games,2006EU,Unreleased,Released,Unreleased
3824,Super-Bikes: Riding Challenge,Milestone srl,Black Bean Games,2006-09-15EU,Unreleased,Released,Unreleased
3825,Supercar Street Challenge,Exakt Entertainment,Activision,2001-10-22NA,Released,Released,Released
3826,Superman Returns,EA Tiburon,Electronic Arts,2006-11-20NA,Unreleased,Released,Released
3827,Superman: Shadow of Apokolips,Infogrames Sheffield,Infogrames,2002-09-25NA,Unreleased,Released,Released
3828,Surf's Up,Ubisoft Montreal,Ubisoft,2007-05-30NA,Unreleased,Released,Released
3829,Surfing Air Show with RatBoy,Now Production,Now Production,2002-07-18JP,Released,Unreleased,Unreleased
3830,Surfing H3O,Opus,"ASCII CorporationJP, Rockstar GamesEU,NA",2000-08-10JP,Released,Released,Released
3831,Surveillance Kanshisha,Sony Computer Entertainment,Sony Computer Entertainment,2002-04-25JP,Released,Unreleased,Unreleased
3832,The Survival Game,Best Media,D3 Publisher,2004-07-22JP,Released,Unreleased,Unreleased
3833,The Survival Game 2,Best Media,D3 Publisher,2007-08-09JP,Released,Unreleased,Unreleased
3834,Suzuki Super-bikes II: Riding Challenge,Milestone srl,Valcon Games,2006-11-07NA,Unreleased,Unreleased,Released
3835,Suzuki TT Superbikes,Jester Interactive,"Jester InteractiveEU, Valcon GamesNA, TaitoJP",2005-04-29EU,Released,Released,Released
3836,Suzuki TT Superbikes: Real Road Racing Championship,Jester Interactive,"Jester InteractiveEU, Valcon GamesNA",2008-04-07EU,Unreleased,Released,Released
3837,Suzumiya Haruhi no Tomadoi,Banpresto,Banpresto,2008-01-31JP,Released,Unreleased,Unreleased
3838,Suzunone Seven: Rebirth Knot,Alchemist,Alchemist,2010-05-27JP,Released,Unreleased,Unreleased
3839,SVC Chaos: SNK vs. Capcom,SNK Playmore,"SNK PlaymoreJP, Ignition EntertainmentEU",2003-12-25JP,Released,Released,Unreleased
3840,Sven-G?ran Eriksson's World Challenge,Anco Software,3DO,2002-05-24EU,Unreleased,Released,Unreleased
3841,Sven-Goran Eriksson's World Cup Manager,Anco Software,3DO,2002-06-28EU,Unreleased,Released,Unreleased
3842,Swashbucklers: Blue vs. Grey,Akella,Atari,2007-11-20NA,Unreleased,Unreleased,Released
3843,SWAT: Global Strike Team,Argonaut Games,Sierra Entertainment,2003-10-29NA,Unreleased,Released,Released
3844,SWAT: Siege,Phoenix Games,Phoenix Games,2006-11-24EU,Unreleased,Released,Unreleased
3845,Sweet Legacy,Frontwing,Pacific Century Cyber Works,2002-12-26JP,Released,Unreleased,Unreleased
3846,Sweet Season,Takuyo,Takuyo,2005-03-31JP,Released,Unreleased,Unreleased
3847,SweetHoneyComing,Kadokawa Games,Kadokawa Games,2009-09-03JP,Released,Unreleased,Unreleased
3848,Swing Away Golf,T&E Soft,"T&E SoftJP, Electronic ArtsEU,NA",2000-03-23JP,Released,Released,Released
3849,Switch,Sega,Sega,2002-08-29JP,Released,Unreleased,Unreleased
3850,The Sword of Etheria,Konami,Konami,2005-06-30JP,Released,Released,Unreleased
3851,Sword of the Samurai,Genki,"GenkiJP, UbisoftEU",2002-06-27JP,Released,Released,Unreleased
3852,Swords of Destiny,Artoon,Marvelous Entertainment,2005-02-17JP,Released,Released,Unreleased
3853,Syberia,Microids,Microids,2003-03-28EU,Unreleased,Released,Unreleased
3854,Syberia II,Microids,Ubisoft,2004-11-26EU,Unreleased,Released,Unreleased
3855,Syphon Filter: Dark Mirror,Bend Studio,Sony Computer Entertainment,2007-09-18NA,Unreleased,Released,Released
3856,Syphon Filter: Logan's Shadow,Bend Studio,Sony Computer Entertainment,2010-06-02NA,Unreleased,Unreleased,Released
3857,Syphon Filter: The Omega Strain,Bend Studio,Sony Computer Entertainment,2004-05-04NA,Released,Released,Released
3858,The Table Game,Yuki,D3 Publisher,2001-05-31JP,Released,Unreleased,Unreleased
3859,"Taiheiyou no Arashi: Senkan Yamato, Akatsuki ni Shutsugekisu",SystemSoft,SystemSoft,2008-01-31JP,Released,Unreleased,Unreleased
3860,Taiko: Drum Master,Namco,Namco,2004-10-26NA,Released,Unreleased,Released
3861,Taiko no Tatsujin: Appare Sandaime,Namco,Namco,2003-10-28AS,Released,Unreleased,Unreleased
3862,Taiko no Tatsujin: Atsumare! Matsuri Da!! Yondaime,Namco,Namco,2004-07-22JP,Released,Unreleased,Unreleased
3863,Taiko no Tatsujin: Doka! to Oomori Nanadaime,Namco,Namco,2006-12-05AS,Released,Unreleased,Unreleased
3864,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,Namco,Namco,2003-03-27JP,Released,Unreleased,Unreleased
3865,Taiko no Tatsujin: Go! Go! Godaime,Namco,Namco,2004-12-07AS,Released,Unreleased,Unreleased
3866,Taiko no Tatsujin: Tatakon de Dodon ga Don,Namco,Namco,2002-10-24JP,Released,Unreleased,Unreleased
3867,Taiko no Tatsujin: Tobikkiri! Anime Special,Namco,Namco,2005-08-02AS,Released,Unreleased,Unreleased
3868,Taiko no Tatsujin: Wai Wai Happy Rokudaime,Namco,Namco,2005-12-06AS,Released,Unreleased,Unreleased
3869,Taiko no Tatsujin: Waku Waku Anime Matsuri,Namco,Namco,2003-12-18JP,Released,Unreleased,Unreleased
3870,Taikou Risshiden IV,Koei,Koei,2001-11-29JP,Released,Unreleased,Unreleased
3871,Taikou Risshiden V,Koei,Koei,2004-08-26JP,Released,Unreleased,Unreleased
3872,Taikyoku Mahjong: Net de Ron!,Arika,Arika,2001-12-20JP,Released,Unreleased,Unreleased
3873,The Tairyou Jigoku,Arika,Arika,2007-02-22JP,Released,Unreleased,Unreleased
3874,Taisen Hot Gimmick: Axes-Jong,Psikyo,X-Nauts,2005-04-28JP,Released,Unreleased,Unreleased
3875,Taisen Hot Gimmick: Cosplay-jong,Psikyo,X-Nauts,2004-04-29JP,Released,Unreleased,Unreleased
3876,Taisen! Bakutama Poi Poi,Psikyo,D3 Publisher,2004-02-26JP,Released,Unreleased,Unreleased
3877,Taisen(1) Shogi,Mycom,Mycom,2004-03-25JP,Released,Unreleased,Unreleased
3878,Taisen(2) Igo,Mycom,Mycom,2004-03-25JP,Released,Unreleased,Unreleased
3879,Taisen(3) Mahjong,Mycom,Mycom,2004-03-25JP,Released,Unreleased,Unreleased
3880,Taisen(4) Soldier,Mycom,Mycom,2004-03-25JP,Released,Unreleased,Unreleased
3881,Taishou Mononoke Ibunroku,Gust Co. Ltd.,Gust Co. Ltd.,2003-02-27JP,Released,Unreleased,Unreleased
3882,Taito Legends,Empire Interactive,"Empire InteractiveEU, SegaNA, TaitoKO",2005-10-14EU,Released,Released,Released
3883,Taito Legends 2,Empire Interactive,"Empire InteractivePAL, DestineerNA",2006-03-30PAL,Unreleased,Released,Released
3884,Taito Memories Gekan,Taito,Taito,2005-08-25JP,Released,Unreleased,Unreleased
3885,Taito Memories II Gekan,Taito,Taito,2007-03-29JP,Released,Unreleased,Unreleased
3886,Taito Memories II Joukan,Taito,Taito,2005-07-28JP,Released,Unreleased,Unreleased
3887,Taito Memories Joukan,Taito,Taito,2007-01-25JP,Released,Unreleased,Unreleased
3888,Tak 2: The Staff of Dreams,Avalanche Software,THQ,2004-10-11NA,Unreleased,Released,Released
3889,Tak and the Guardians of Gross,Blitz Games,THQ,2008-10-13NA,Unreleased,Released,Released
3890,Tak and the Power of Juju,Avalanche Software,THQ,2003-10-15NA,Unreleased,Released,Released
3891,Tak: The Great Juju Challenge,Avalanche Software,THQ,2005-09-19NA,Unreleased,Released,Released
3892,Takahashi Naoko no Marathon Shiyouyo!,Taito,Taito,2003-11-13JP,Released,Unreleased,Unreleased
3893,The Tale of Despereaux,Brash Entertainment,Brash Entertainment,2007-12-05EU,Unreleased,Released,Released
3894,Tales of the Abyss,Namco Tales Studio,Namco,2005-12-15JP,Released,Unreleased,Released
3895,Tales of Destiny,Namco Tales Studio,Namco,2006-11-30JP,Released,Unreleased,Unreleased
3896,Tales of Destiny 2,"Telenet Japan, Wolfteam","NamcoJP, Sony Computer EntertainmentKO",2002-11-28JP,Released,Unreleased,Unreleased
3897,Tales of Destiny: Director's Cut,Namco Tales Studio,Bandai Namco Games,2008-01-31JP,Released,Unreleased,Unreleased
3898,Tales of Fandom Vol. 2,Namco Tales Studio,Bandai Namco Games,2007-06-28JP,Released,Unreleased,Unreleased
3899,Tales of Legendia,Namco Tales Studio,"NamcoAS,JP,NA, Sony Computer EntertainmentKO",2005-08-25JP,Released,Unreleased,Released
3900,Tales of Rebirth,Namco Tales Studio,Namco,2004-12-16JP,Released,Unreleased,Unreleased
3901,Tales of Symphonia,Namco Tales Studio,Namco,2004-09-22JP,Released,Unreleased,Unreleased
3902,Tam Tam Paradise,Global A,Global A,2001-08-09JP,Released,Unreleased,Unreleased
3903,Tamayura,Yeti,Yeti,2006-06-29JP,Released,Unreleased,Unreleased
3904,Tank Elite,Vingt-et-un Systems,"D3 PublisherJP, AgetecEU",2003-06-26JP,Released,Released,Unreleased
3905,Tantei Gakuen Q,Konami,Konami,2003-12-18JP,Released,Unreleased,Unreleased
3906,Tantei Jinguuji Saburou: Innocent Black,WorkJam,WorkJam,2002-10-24JP,Released,Unreleased,Unreleased
3907,Tantei Jinguuji Saburou: Kind of Blue,WorkJam,WorkJam,2004-04-22JP,Released,Unreleased,Unreleased
3908,The Taxi 2,Tamsoft,D3 Publisher,2006-10-12JP,Released,Unreleased,Unreleased
3909,Taxi 3,Ubisoft Montreal,Ubisoft,2003-02-23EU,Unreleased,Released,Unreleased
3910,Taxi Rider,Tamsoft,"D3 PublisherJP, 505 Game StreetEU",2004-04-08JP,Released,Released,Unreleased
3911,Taz Wanted,Blitz Games,Infogrames,2002-09-17NA,Unreleased,Released,Released
3912,TBS All-Star Kansha Matsuri 2003-Aki Chou Gouka! Quiz Ketteiban,Hudson Soft,Hudson Soft,2003-09-25JP,Released,Unreleased,Unreleased
3913,TearRing Saga Series: Berwick Saga,Enterbrain,Enterbrain,2005-05-26JP,Released,Unreleased,Unreleased
3914,Technicbeat,Arika,"Arika, Mastiff",2002-11-07JP,Released,Unreleased,Released
3915,Technictix,Arika,Arika,2001-01-25JP,Released,Unreleased,Unreleased
3916,Tecmo Hit Parade,Tecmo,Tecmo,2004-11-25JP,Released,Unreleased,Unreleased
3917,Teen Titans,Artificial Mind and Movement,THQ,2006-05-24NA,Unreleased,Released,Released
3918,Teenage Mutant Ninja Turtles,Konami,Konami,2003-10-21NA,Unreleased,Released,Released
3919,Teenage Mutant Ninja Turtles 2: Battle Nexus,Konami,Konami,2004-10-19NA,Unreleased,Released,Released
3920,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami,Konami,2005-11-01NA,Unreleased,Released,Released
3921,Teenage Mutant Ninja Turtles: Mutant Melee,Konami,Konami,2005-10-14EU,Unreleased,Released,Unreleased
3922,Teenage Mutant Ninja Turtles: Smash-Up,Game Arts,Ubisoft,2009-09-22NA,Unreleased,Released,Released
3923,Teikoku Sensenki,Interchannel,Interchannel,2004-11-25JP,Released,Unreleased,Unreleased
3924,Teitoku no Ketsudan IV with Power-Up Kit,Koei,Koei,2004-02-26JP,Released,Unreleased,Unreleased
3925,Tekken 4,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU",2002-03-28JP,Released,Released,Released
3926,Tekken 5,Namco,Namco,2005-02-24NA,Released,Released,Released
3927,Tekken Tag Tournament,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU",2000-03-30JP,Released,Released,Released
3928,Telly Addicts,Ubisoft,Ubisoft,2007-11-23EU,Unreleased,Released,Unreleased
3929,Tenchu: Fatal Shadows,K2 LLC,"FromSoftwareAS,JP,KO, SegaEU,NA",2004-07-22JP,Released,Released,Released
3930,Tenchu: Wrath of Heaven,K2 LLC,"FromSoftwareJP,KO, ActivisionEU,NA",2003-03-03NA,Released,Released,Released
3931,Tengai,Psikyo,Taito,2005-07-29KO,Released,Released,Unreleased
3932,Tengai Maky? II: Manji Maru,Hudson Soft,Hudson Soft,2003-10-02JP,Released,Unreleased,Unreleased
3933,Tengai Maky? III: Namida,Hudson Soft,Hudson Soft,2005-04-14JP,Released,Unreleased,Unreleased
3934,Tenka-bito,Shade,Sega,2006-03-02JP,Released,Unreleased,Unreleased
3935,Tenkuu Danzai Skelter Heaven,Design Factory,Idea Factory,2004-11-25JP,Released,Unreleased,Unreleased
3936,The Tennis & The Snowboard,"Atelier Double, HuneX",D3 Publisher,2005-06-02JP,Released,Unreleased,Unreleased
3937,Tennis Court Smash,HuneX,"D3 PublisherJP, AgetecEU",2002-09-12JP,Released,Released,Unreleased
3938,Tennis Masters Series 2003,Microids,Microids,2003-07-25EU,Unreleased,Released,Unreleased
3939,Tennis no Oji-Sama: Card Hunter,WinkySoft,Konami,2007-02-22JP,Released,Unreleased,Unreleased
3940,Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,WinkySoft,Konami,2006-12-21JP,Released,Unreleased,Unreleased
3941,Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,WinkySoft,Konami,2007-01-25JP,Released,Unreleased,Unreleased
3942,Tennis no Oji-Sama: Gakuensai no Oji-Sama,WinkySoft,Konami,2005-12-22JP,Released,Unreleased,Unreleased
3943,Tennis no Oji-Sama: Kiss of Prince Flame,WinkySoft,Konami,2003-10-30JP,Released,Unreleased,Unreleased
3944,Tennis no Oji-Sama: Kiss of Prince Ice,WinkySoft,Konami,2003-10-30JP,Released,Unreleased,Unreleased
3945,Tennis no Oji-Sama: Love of Prince Bitter,WinkySoft,Konami,2004-02-12JP,Released,Unreleased,Unreleased
3946,Tennis no Oji-Sama: Love of Prince Sweet,WinkySoft,Konami,2004-02-12JP,Released,Unreleased,Unreleased
3947,Tennis no Oji-Sama: Rush & Dream!,Konami,Konami,2004-12-09JP,Released,Unreleased,Unreleased
3948,Tennis no Oji-Sama: Saikyou Team o Kessei Seyo!,Konami,Konami,2004-09-16JP,Released,Unreleased,Unreleased
3949,Tennis no Oji-Sama: Smash Hit!,Konami,Konami,2003-07-24JP,Released,Unreleased,Unreleased
3950,Tennis no Oji-Sama: Smash Hit! 2,Konami,Konami,2003-12-18JP,Released,Unreleased,Unreleased
3951,Tennis no Oji-Sama: Sweat & Tears 2,Konami,Konami,2003-09-25JP,Released,Unreleased,Unreleased
3952,"Tenohirao, Taiyouni: Eikyuu no Kizuna",PrincessSoft,PrincessSoft,2004-03-25JP,Released,Unreleased,Unreleased
3953,Tensai Bit-Kun: Gramon Battle,Tose,Taito,2003-09-18JP,Released,Unreleased,Unreleased
3954,Tensei Hakkenshi Fuumaroku,Vridge,Success,2006-06-08JP,Released,Unreleased,Unreleased
3955,Tenshi no Present - Marl ?koku Monogatari,Nippon Ichi Software,Nippon Ichi Software,2000-12-21JP,Released,Unreleased,Unreleased
3956,Tenshou Gakuen Gekkouroku,Asmik Ace,Asmik Ace,2006-11-22JP,Released,Unreleased,Unreleased
3957,Tenshou Gakuen Gensouroku,Asmik Ace,Asmik Ace,2004-05-27JP,Released,Unreleased,Unreleased
3958,Tentama: 1st Sunnyside,KID,KID,2003-10-30JP,Released,Unreleased,Unreleased
3959,Tentama 2: Wins,KID,KID,2004-02-26JP,Released,Unreleased,Unreleased
3960,Terminator 3: The Redemption,Paradigm Entertainment,Atari,2004-09-02NA,Released,Released,Released
3961,Terminator 3: Rise of the Machines,Black Ops Entertainment,Atari,2003-11-11NA,Released,Released,Released
3962,Terminator: Dawn of Fate,Paradigm Entertainment,Infogrames,2002-09-16NA,Unreleased,Released,Released
3963,Test Drive,Pitbull Syndicate,Atari,2002-05-28NA,Unreleased,Released,Released
